"vibes","Movie","Name","Year","PP","DD","MM","FF","Ch","Nom","Pic","Dir","Aml","Afl","Ams","Afs","Scr","Cin","PrNl","PrWl","PrNs","PrWs","PrN","PrW","Gdr","Gmc","Gd","Gm1","Gm2","Gf1","Gf2","PGA","DGA","SAM","SAF","SAE","Age","Length","Days","WR","rating_val"
0,"The Power of the Dog","Jane Campion","2021","0","1","0","0","1",12,"1","1",1,0,1,1,1,"1",0,0,0,0,1,0,1,"0","1","0","0",0,"0","0","1","0","0","0",67,126,117,6.9,0
0,"Licorice Pizza","Paul Thomas Anderson","2021","0","1","0","0","0",3,"1","1",0,0,0,0,1,"0",0,0,0,0,2,0,0,"0","0","0","0",0,"0","0","0","0","0","0",51,133,92,7.4,0
0,"West Side Story","Steven Spielberg","2021","0","1","0","0","0",7,"1","1",0,0,0,1,0,"1",0,0,0,0,14,2,0,"1","0","0","0",0,"1","0","0","0","0","0",75,156,105,7.4,7.65610859728507
0,"King Richard","Will Smith","2021","0","0","1","0","1",6,"1","0",1,0,0,1,1,"0",2,0,0,0,2,0,0,"0","0","1","0",0,"0","0","0","1","0","0",53,144,127,7.5,0
0,"The Tragedy of Macbeth","Denzel Washington","2021","0","0","1","0","0",3,"0","0",1,0,0,0,0,"1",6,1,2,1,9,2,0,"0","0","0","0",0,"0","0","0","0","0","0",67,105,71,7.2,0
0,"Being the Ricardos","Javier Bardem","2021","0","0","1","0","0",3,"0","0",1,1,1,0,0,"0",2,0,1,0,3,0,0,"0","0","0","0",0,"0","0","0","0","0","0",53,131,96,6.6,0
0,"The Power of the Dog","Benedict Cumberbatch","2021","0","0","1","0","0",12,"1","1",1,0,1,1,1,"1",1,0,0,0,1,0,1,"0","1","0","0",0,"0","0","1","0","0","0",45,126,117,6.9,0
0,"tick, tick... BOOM!","Andrew Garfield","2021","0","0","1","0","0",2,"0","0",1,0,0,0,0,"0",1,0,0,0,1,0,0,"0","0","0","1",0,"0","0","0","0","0","0",38,115,127,7.5,0
0,"The Eyes of Tammy Faye","Jessica Chastain","2021","0","0","0","1","1",2,"0","0",0,1,0,0,0,"0",1,0,1,0,2,0,0,"0","0","0","0",0,"0","0","0","0","1","0",NA,126,192,6.7,0
0,"The Lost Daughter","Olivia Colman","2021","0","0","0","1","0",3,"0","0",0,1,0,1,1,"0",1,1,1,0,2,1,0,"0","1","0","0",0,"0","0","1","0","0","0",NA,121,86,6.7,0
0,"Parallel Mothers","Penelope Cruz","2021","0","0","0","1","0",2,"0","0",0,1,0,0,0,"0",1,0,2,1,3,1,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,123,170,7.1,0
0,"Being the Ricardos","Nicole Kidman","2021","0","0","0","1","0",3,"0","0",1,1,1,0,0,"0",3,1,1,0,4,1,0,"0","0","0","0",1,"0","0","0","0","0","0",54,131,96,6.6,0
0,"Spencer","Kristen Stewart","2021","0","0","0","1","0",1,"0","0",0,1,0,0,0,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",31,117,142,6.7,0
0,"The Father","The Father","2020","1","0","0","0","0",6,"1","0",1,0,0,1,1,"0",0,0,0,0,0,0,0,"0","0","0","0",0,"0","0","0","0","0","0",NA,97,454,8.3,4
0,"Judas and the Black Messiah","Judas and the Black Messiah","2020","1","0","0","0","0",6,"1","0",0,0,1,0,1,"1",0,0,0,0,1,0,0,"0","0","0","0",0,"0","0","0","1","0","0",NA,126,72,7.6,0
